alertId,alertName,key,trolleyId,createdOn,modifiedOn,status,recentGeozoneId,assigneeId
1,SCATTERED TROLLEY,ST-121225-13589,1,2025-12-12 18:05:13,,0,78,0
2,TROLLEY OUT OF ZONE,TZ-151225-37202,7,2025-12-15 07:17:17,,0,122,20
3,TROLLEY OUT OF ZONE,TZ-151225-51653,7,2025-12-15 07:24:11,,0,122,0
4,BATTERY ALERT,BA-151225-28562,4,2025-12-15 09:38:48,,0,80,108
5,BATTERY ALERT,BA-230226-92405,9,2026-02-23 10:24:52,2026-02-23 10:27:44,0,80,0
6,BATTERY ALERT,BA-100326-45839,9,2026-03-10 09:40:45,,2,48,0
7,BATTERY ALERT,BA-160326-22686,10,2026-03-16 06:00:22,2026-03-16 06:26:27,1,80,76
8,TROLLEY OUT OF ZONE,TZ-310326-95794,3,2026-03-31 10:28:15,,0,48,0
9,TROLLEY OUT OF ZONE,TZ-310326-79612,1,2026-03-31 10:41:19,,0,78,0
