nestId,nestName,geozoneId,geolayerId,minTrolleyLimit,boundary,boundaryColor,createdOn,modifiedOn,status,availableTrolly
1,Apl Airport ,122,102,2,"b'\x00\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00D\xc5IZ#\x0fT@\xf8H\xb1z\xbf\xe9)@,\xc5I\x92\'\x0fT@\xb8\x83\xd1\x81\xc0\xe9)@H\xc5\t-\'\x0fT@\xb8=\xfd\xd8\x9b\xe9)@8\xc5\xc9b""\x0fT@x\xd8.\xdb\x8f\xe9)@D\xc5IZ#\x0fT@\xf8H\xb1z\xbf\xe9)@'",#FD7A00,2026-02-23 10:52:16,2026-02-24 06:02:36,2,0
2,Zone1,89,105,1,b'\x00\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x80:\xa9C\x10mY@\x80\xff(\xe0=\t\x06@\x0c\nP\xe5\x15mY@\xa0iSzW\x08\x06@ \xaf\xf2\x9b!mY@\xa0\x98n\x13!\t\x06@\x94\xb9MF\x19mY@\xc0\x95\xca\x12\x1d\n\x06@\x80:\xa9C\x10mY@\x80\xff(\xe0=\t\x06@',#286AD4,2026-02-23 10:53:06,2026-03-09 09:38:34,1,0
3,Zone - 2,121,114,1,b'\x00\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00X\xf7g\xf2\x08rY@\xa0:P\xae\x85\xc1\x06@\xdca\xa8\xec\nrY@`\xc7\xb4\xcdm\xc1\x06@\x84\x8a\xe8\xab\x0brY@\x80I\x18\x89\x96\xc1\x06@ \x1dh\xa6\trY@\xc0ID\xd1\xaf\xc1\x06@X\xf7g\xf2\x08rY@\xa0:P\xae\x85\xc1\x06@',#FD7A00,2026-02-24 05:59:07,2026-02-24 05:59:07,1,0
4,Zone - 3,118,112,3,b'\x00\x00\x00\x00\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x04\x9f\x95?qmY@\xa0l<\tR\xc8\x05@\x88\xda\xd5XrmY@\x00\xa2\xf6\x15%\xc8\x05@\x984V\x04tmY@\x00\xa46\xfdC\xc8\x05@T\x00\xd6\x0csmY@\xc0\xc3\xad\xb9l\xc8\x05@\x04\x9f\x95?qmY@\xa0l<\tR\xc8\x05@',#FD7A00,2026-02-24 05:59:55,2026-02-24 05:59:55,1,0
